<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GBPNZD,20170110,164500,1.7395,1.7395,1.7390,1.7390
GBPNZD,20170110,164600,1.7388,1.7388,1.7385,1.7385
GBPNZD,20170110,164700,1.7384,1.7384,1.7382,1.7382
GBPNZD,20170110,164800,1.7383,1.7386,1.7382,1.7384
GBPNZD,20170110,164900,1.7387,1.7387,1.7385,1.7386
GBPNZD,20170110,165000,1.7385,1.7385,1.7380,1.7380
GBPNZD,20170110,165100,1.7381,1.7382,1.7379,1.7381
GBPNZD,20170110,165200,1.7379,1.7384,1.7379,1.7384
GBPNZD,20170110,165300,1.7385,1.7385,1.7382,1.7383
GBPNZD,20170110,165400,1.7384,1.7384,1.7380,1.7380
GBPNZD,20170110,165500,1.7377,1.7377,1.7371,1.7372
GBPNZD,20170110,165600,1.7373,1.7383,1.7373,1.7383
GBPNZD,20170110,165700,1.7384,1.7388,1.7384,1.7388
GBPNZD,20170110,165800,1.7389,1.7393,1.7389,1.7392
GBPNZD,20170110,165900,1.7387,1.7393,1.7387,1.7392
GBPNZD,20170110,170000,1.7391,1.7395,1.7391,1.7393
GBPNZD,20170110,170100,1.7396,1.7402,1.7395,1.7399
GBPNZD,20170110,170200,1.7394,1.7399,1.7393,1.7399
GBPNZD,20170110,170300,1.7398,1.7399,1.7396,1.7396
GBPNZD,20170110,170400,1.7397,1.7401,1.7395,1.7400
GBPNZD,20170110,170500,1.7399,1.7400,1.7398,1.7400
GBPNZD,20170110,170600,1.7398,1.7403,1.7398,1.7403
GBPNZD,20170110,170700,1.7404,1.7404,1.7396,1.7396
GBPNZD,20170110,170800,1.7394,1.7399,1.7393,1.7394
GBPNZD,20170110,170900,1.7392,1.7392,1.7387,1.7387
GBPNZD,20170110,171000,1.7385,1.7385,1.7384,1.7385
GBPNZD,20170110,171100,1.7382,1.7382,1.7380,1.7381
GBPNZD,20170110,171200,1.7380,1.7382,1.7379,1.7379
GBPNZD,20170110,171300,1.7380,1.7383,1.7380,1.7380
GBPNZD,20170110,171400,1.7381,1.7383,1.7380,1.7380
GBPNZD,20170110,171500,1.7381,1.7381,1.7379,1.7379
